fold,epoch,train_loss,val_loss,val_pearson,val_r2,val_mae,val_mse
4,28,0.01943,0.034081,0.302091,-0.516165,0.146165,0.034081
4,29,0.018765,0.024065,0.320144,-0.070591,0.12237,0.024065
4,30,0.018198,0.023878,0.332623,-0.062245,0.124657,0.023878
4,31,0.016429,0.020802,0.428895,0.074607,0.116771,0.020802
4,32,0.01613,0.02126,0.409057,0.054215,0.115134,0.02126
4,33,0.015497,0.031904,0.355007,-0.419309,0.147301,0.031904
4,34,0.015561,0.018474,0.502335,0.178167,0.109894,0.018474
4,35,0.01528,0.018386,0.495306,0.18206,0.107018,0.018386
4,36,0.014241,0.033098,0.479153,-0.472412,0.146745,0.033098
4,37,0.013399,0.016166,0.543789,0.280847,0.099865,0.016166
4,38,0.012243,0.017898,0.509754,0.203758,0.105759,0.017898
4,39,0.012017,0.019818,0.519857,0.118369,0.11036,0.019818
4,40,0.010843,0.016933,0.522735,0.246695,0.10189,0.016933
4,41,0.010818,0.020084,0.525134,0.106538,0.112718,0.020084
4,42,0.010731,0.017299,0.54582,0.230437,0.101497,0.017299
4,43,0.00953,0.018829,0.568306,0.162345,0.10754,0.018829
4,44,0.009505,0.018449,0.544727,0.179248,0.106954,0.018449
4,45,0.008599,0.018379,0.522439,0.182358,0.104967,0.018379
4,46,0.008562,0.016707,0.555288,0.256744,0.101185,0.016707
4,47,0.008034,0.021829,0.519226,0.028919,0.116142,0.021829
5,1,0.141508,0.048057,-0.185636,-1.087525,0.176568,0.048057
5,2,0.054884,0.041183,0.166589,-0.788956,0.158034,0.041183
5,3,0.040013,0.028356,0.16702,-0.231768,0.136613,0.028356
5,4,0.035453,0.023539,0.185532,-0.022484,0.12311,0.023539
5,5,0.030817,0.025532,0.166921,-0.109072,0.12937,0.025532
5,6,0.030813,0.022255,0.234773,0.033259,0.118676,0.022255
5,7,0.028335,0.022719,0.278688,0.013109,0.121222,0.022719
5,8,0.027215,0.02296,0.321258,0.002641,0.122433,0.02296
5,9,0.025265,0.023832,0.298756,-0.035224,0.12612,0.023832
5,10,0.025457,0.02285,0.193935,0.007439,0.120744,0.02285
5,11,0.023871,0.021281,0.337814,0.075598,0.117758,0.021281
5,12,0.022207,0.020249,0.381888,0.12039,0.114102,0.020249
5,13,0.021597,0.021014,0.33977,0.087185,0.114101,0.021014
5,14,0.021019,0.020893,0.326838,0.09244,0.117794,0.020893
5,15,0.020017,0.019243,0.435327,0.164097,0.109651,0.019243
5,16,0.017852,0.020505,0.354177,0.10928,0.116584,0.020505
5,17,0.017344,0.017859,0.47935,0.224224,0.105999,0.017859
5,18,0.015164,0.019662,0.433361,0.145924,0.112821,0.019662
5,19,0.015011,0.019936,0.425344,0.133985,0.113697,0.019936
5,20,0.013995,0.021362,0.428754,0.072068,0.117794,0.021362
5,21,0.012799,0.019252,0.465538,0.163701,0.111333,0.019252
5,22,0.012626,0.020571,0.434706,0.106427,0.11369,0.020571
5,23,0.012058,0.028286,0.39088,-0.228724,0.137308,0.028286
5,24,0.011403,0.02538,0.422887,-0.102475,0.127148,0.02538
5,25,0.011414,0.02197,0.388169,0.045649,0.117416,0.02197
5,26,0.009701,0.021264,0.387699,0.076323,0.116185,0.021264
5,27,0.009747,0.024034,0.420338,-0.043995,0.125724,0.024034
