Run,LR,Dropout,Hidden,WD,Batch,Pearson_Mean,Pearson_SD,R2_Mean,R2_SD,Time_s
80,0.001,0.4,"[768, 512, 256]",0.0001,32,0.5188,0.0228,0.2489,0.0291,21.8
81,0.001,0.4,"[768, 512, 256]",0.0001,64,0.5154,0.0151,0.2373,0.0193,13.3
82,0.0005,0.2,"[256, 128, 64]",0,16,0.5447,0.0158,0.2752,0.0284,16.1
83,0.0005,0.2,"[256, 128, 64]",0,32,0.5116,0.0115,0.2473,0.0198,8.0
84,0.0005,0.2,"[256, 128, 64]",0,64,0.4343,0.0051,0.1588,0.0143,4.1
85,0.0005,0.2,"[256, 128, 64]",1e-05,16,0.5310,0.0145,0.2722,0.0146,16.4
86,0.0005,0.2,"[256, 128, 64]",1e-05,32,0.4975,0.0203,0.2087,0.0377,9.4
87,0.0005,0.2,"[256, 128, 64]",1e-05,64,0.4851,0.0070,0.1999,0.0128,4.9
88,0.0005,0.2,"[256, 128, 64]",0.0001,16,0.5112,0.0135,0.2561,0.0106,16.9
89,0.0005,0.2,"[256, 128, 64]",0.0001,32,0.4966,0.0411,0.2178,0.0513,8.9
90,0.0005,0.2,"[256, 128, 64]",0.0001,64,0.4694,0.0267,0.1585,0.0334,4.9
91,0.0005,0.2,"[512, 256, 128, 64]",0,16,0.5284,0.0277,0.2708,0.0298,27.8
92,0.0005,0.2,"[512, 256, 128, 64]",0,32,0.4943,0.0048,0.2224,0.0052,15.2
93,0.0005,0.2,"[512, 256, 128, 64]",0,64,0.4731,0.0328,0.2088,0.0343,7.9
94,0.0005,0.2,"[512, 256, 128, 64]",1e-05,16,0.5041,0.0231,0.2401,0.0256,31.6
95,0.0005,0.2,"[512, 256, 128, 64]",1e-05,32,0.4977,0.0426,0.2361,0.0531,15.7
96,0.0005,0.2,"[512, 256, 128, 64]",1e-05,64,0.4710,0.0387,0.2078,0.0439,8.7
97,0.0005,0.2,"[512, 256, 128, 64]",0.0001,16,0.5345,0.0178,0.2454,0.0226,29.4
98,0.0005,0.2,"[512, 256, 128, 64]",0.0001,32,0.4873,0.0367,0.2295,0.0419,15.5
99,0.0005,0.2,"[512, 256, 128, 64]",0.0001,64,0.4527,0.0260,0.1779,0.0298,8.8
100,0.0005,0.2,"[768, 512, 256]",0,16,0.5076,0.0373,0.2295,0.0322,34.1
101,0.0005,0.2,"[768, 512, 256]",0,32,0.5128,0.0348,0.2406,0.0339,18.7
102,0.0005,0.2,"[768, 512, 256]",0,64,0.5085,0.0258,0.2211,0.0304,11.6
103,0.0005,0.2,"[768, 512, 256]",1e-05,16,0.5006,0.0247,0.2408,0.0260,36.1
104,0.0005,0.2,"[768, 512, 256]",1e-05,32,0.5323,0.0404,0.2644,0.0408,22.0
105,0.0005,0.2,"[768, 512, 256]",1e-05,64,0.4925,0.0260,0.2261,0.0184,12.4
106,0.0005,0.2,"[768, 512, 256]",0.0001,16,0.4902,0.0417,0.2326,0.0333,38.7
107,0.0005,0.2,"[768, 512, 256]",0.0001,32,0.5150,0.0234,0.2386,0.0362,24.0
108,0.0005,0.2,"[768, 512, 256]",0.0001,64,0.4892,0.0180,0.2132,0.0249,13.6
109,0.0005,0.3,"[256, 128, 64]",0,16,0.5186,0.0176,0.2589,0.0227,18.9
110,0.0005,0.3,"[256, 128, 64]",0,32,0.4777,0.0228,0.2091,0.0223,10.0
111,0.0005,0.3,"[256, 128, 64]",0,64,0.4264,0.0359,0.0970,0.0589,5.6
112,0.0005,0.3,"[256, 128, 64]",1e-05,16,0.5333,0.0057,0.2724,0.0107,21.5
113,0.0005,0.3,"[256, 128, 64]",1e-05,32,0.4391,0.0600,0.1527,0.0519,10.9
114,0.0005,0.3,"[256, 128, 64]",1e-05,64,0.3502,0.0556,0.0370,0.0584,5.9
115,0.0005,0.3,"[256, 128, 64]",0.0001,16,0.5209,0.0235,0.2551,0.0249,21.5
116,0.0005,0.3,"[256, 128, 64]",0.0001,32,0.4425,0.0282,0.1517,0.0276,10.7
117,0.0005,0.3,"[256, 128, 64]",0.0001,64,0.4547,0.0154,0.1272,0.0518,5.4
118,0.0005,0.3,"[512, 256, 128, 64]",0,16,0.3944,0.1287,0.1557,0.0989,24.9
119,0.0005,0.3,"[512, 256, 128, 64]",0,32,0.4215,0.0467,0.1512,0.0406,16.9
120,0.0005,0.3,"[512, 256, 128, 64]",0,64,0.3295,0.0286,0.0379,0.0385,8.2
121,0.0005,0.3,"[512, 256, 128, 64]",1e-05,16,0.5281,0.0159,0.2541,0.0224,35.4
122,0.0005,0.3,"[512, 256, 128, 64]",1e-05,32,0.4606,0.0425,0.1809,0.0689,18.4
123,0.0005,0.3,"[512, 256, 128, 64]",1e-05,64,0.3308,0.0499,0.0435,0.0455,9.1
124,0.0005,0.3,"[512, 256, 128, 64]",0.0001,16,0.5289,0.0092,0.2611,0.0134,33.2
125,0.0005,0.3,"[512, 256, 128, 64]",0.0001,32,0.4495,0.0713,0.1856,0.0696,17.4
126,0.0005,0.3,"[512, 256, 128, 64]",0.0001,64,0.3573,0.0628,0.0837,0.0595,9.9
127,0.0005,0.3,"[768, 512, 256]",0,16,0.5303,0.0149,0.2514,0.0282,42.5
128,0.0005,0.3,"[768, 512, 256]",0,32,0.4931,0.0290,0.2184,0.0218,20.1
129,0.0005,0.3,"[768, 512, 256]",0,64,0.4576,0.0668,0.1818,0.0537,12.1
130,0.0005,0.3,"[768, 512, 256]",1e-05,16,0.5062,0.0381,0.2362,0.0249,45.4
131,0.0005,0.3,"[768, 512, 256]",1e-05,32,0.5206,0.0192,0.2612,0.0144,24.1
132,0.0005,0.3,"[768, 512, 256]",1e-05,64,0.5005,0.0296,0.2052,0.0584,13.2
133,0.0005,0.3,"[768, 512, 256]",0.0001,16,0.4959,0.0407,0.2224,0.0318,44.2
134,0.0005,0.3,"[768, 512, 256]",0.0001,32,0.5055,0.0322,0.2397,0.0315,23.7
135,0.0005,0.3,"[768, 512, 256]",0.0001,64,0.4957,0.0432,0.2184,0.0299,15.7
136,0.0005,0.4,"[256, 128, 64]",0,16,0.4942,0.0288,0.2119,0.0505,18.6
137,0.0005,0.4,"[256, 128, 64]",0,32,0.3540,0.0180,0.0027,0.0594,10.0
138,0.0005,0.4,"[256, 128, 64]",0,64,0.3195,0.0135,-0.0425,0.0787,5.4
139,0.0005,0.4,"[256, 128, 64]",1e-05,16,0.5018,0.0315,0.2074,0.0631,21.6
140,0.0005,0.4,"[256, 128, 64]",1e-05,32,0.4081,0.0421,0.0726,0.0735,10.9
141,0.0005,0.4,"[256, 128, 64]",1e-05,64,0.3098,0.0092,-0.1394,0.0737,7.3
142,0.0005,0.4,"[256, 128, 64]",0.0001,16,0.5090,0.0184,0.2358,0.0122,21.9
143,0.0005,0.4,"[256, 128, 64]",0.0001,32,0.4099,0.0380,0.1014,0.0504,11.5
144,0.0005,0.4,"[256, 128, 64]",0.0001,64,0.3123,0.0376,-0.1756,0.1082,6.0
145,0.0005,0.4,"[512, 256, 128, 64]",0,16,0.4278,0.0804,0.1588,0.0767,29.6
146,0.0005,0.4,"[512, 256, 128, 64]",0,32,0.3533,0.0582,0.0959,0.0480,15.8
147,0.0005,0.4,"[512, 256, 128, 64]",0,64,0.2787,0.0156,-0.1141,0.0322,9.3
148,0.0005,0.4,"[512, 256, 128, 64]",1e-05,16,0.4651,0.0490,0.1913,0.0385,35.0
149,0.0005,0.4,"[512, 256, 128, 64]",1e-05,32,0.3134,0.0503,0.0004,0.0286,20.3
150,0.0005,0.4,"[512, 256, 128, 64]",1e-05,64,0.2806,0.0513,-0.0691,0.0202,11.8
151,0.0005,0.4,"[512, 256, 128, 64]",0.0001,16,0.4537,0.0418,0.2029,0.0374,37.8
152,0.0005,0.4,"[512, 256, 128, 64]",0.0001,32,0.3059,0.0163,0.0197,0.0361,17.7
153,0.0005,0.4,"[512, 256, 128, 64]",0.0001,64,0.2866,0.0440,-0.1045,0.1049,10.4
154,0.0005,0.4,"[768, 512, 256]",0,16,0.5420,0.0150,0.2580,0.0419,44.9
155,0.0005,0.4,"[768, 512, 256]",0,32,0.4048,0.1067,0.1448,0.0814,20.6
156,0.0005,0.4,"[768, 512, 256]",0,64,0.3917,0.1086,0.0960,0.0627,11.8
157,0.0005,0.4,"[768, 512, 256]",1e-05,16,0.5209,0.0116,0.2353,0.0216,50.2
158,0.0005,0.4,"[768, 512, 256]",1e-05,32,0.5076,0.0316,0.2285,0.0342,28.0
159,0.0005,0.4,"[768, 512, 256]",1e-05,64,0.4318,0.0097,0.1321,0.0266,15.1
160,0.0005,0.4,"[768, 512, 256]",0.0001,16,0.5175,0.0226,0.2348,0.0128,50.3
161,0.0005,0.4,"[768, 512, 256]",0.0001,32,0.4326,0.0607,0.1726,0.0596,23.1
162,0.0005,0.4,"[768, 512, 256]",0.0001,64,0.3857,0.0614,0.1170,0.0517,11.6
163,0.0001,0.2,"[256, 128, 64]",0,16,0.3925,0.0313,0.0902,0.0441,21.9
164,0.0001,0.2,"[256, 128, 64]",0,32,0.3308,0.0614,0.0056,0.1051,11.4
165,0.0001,0.2,"[256, 128, 64]",0,64,0.3427,0.0159,-0.0899,0.0371,6.0
166,0.0001,0.2,"[256, 128, 64]",1e-05,16,0.3759,0.0508,0.0412,0.0252,23.4
167,0.0001,0.2,"[256, 128, 64]",1e-05,32,0.3779,0.0350,0.0676,0.0456,12.2
168,0.0001,0.2,"[256, 128, 64]",1e-05,64,0.3474,0.0232,-0.0402,0.0508,6.5
169,0.0001,0.2,"[256, 128, 64]",0.0001,16,0.4005,0.0328,0.0711,0.0224,23.1
170,0.0001,0.2,"[256, 128, 64]",0.0001,32,0.3659,0.0280,0.0330,0.0164,12.7
171,0.0001,0.2,"[256, 128, 64]",0.0001,64,0.3410,0.0377,-0.0605,0.0521,6.4
172,0.0001,0.2,"[512, 256, 128, 64]",0,16,0.3666,0.0537,0.0806,0.0599,36.8
173,0.0001,0.2,"[512, 256, 128, 64]",0,32,0.3332,0.0204,0.0033,0.0324,18.0
174,0.0001,0.2,"[512, 256, 128, 64]",0,64,0.3190,0.0342,-0.0692,0.0470,10.4
175,0.0001,0.2,"[512, 256, 128, 64]",1e-05,16,0.3411,0.0479,0.0803,0.0413,39.1
176,0.0001,0.2,"[512, 256, 128, 64]",1e-05,32,0.3422,0.0494,0.0268,0.0284,20.8
177,0.0001,0.2,"[512, 256, 128, 64]",1e-05,64,0.3369,0.0259,-0.0509,0.0550,11.3
178,0.0001,0.2,"[512, 256, 128, 64]",0.0001,16,0.3428,0.0221,0.0614,0.0295,40.4
179,0.0001,0.2,"[512, 256, 128, 64]",0.0001,32,0.3305,0.0390,0.0421,0.0099,21.4
180,0.0001,0.2,"[512, 256, 128, 64]",0.0001,64,0.3351,0.0367,-0.1564,0.1035,12.4
181,0.0001,0.2,"[768, 512, 256]",0,16,0.4499,0.0433,0.1737,0.0399,45.3
182,0.0001,0.2,"[768, 512, 256]",0,32,0.4262,0.0610,0.1714,0.0539,27.0
183,0.0001,0.2,"[768, 512, 256]",0,64,0.4227,0.0331,0.1539,0.0271,14.9
184,0.0001,0.2,"[768, 512, 256]",1e-05,16,0.4758,0.0251,0.2045,0.0258,52.8
185,0.0001,0.2,"[768, 512, 256]",1e-05,32,0.4168,0.0256,0.1466,0.0319,25.9
186,0.0001,0.2,"[768, 512, 256]",1e-05,64,0.4062,0.0477,0.1217,0.0208,16.2
187,0.0001,0.2,"[768, 512, 256]",0.0001,16,0.4315,0.0036,0.1750,0.0059,55.3
188,0.0001,0.2,"[768, 512, 256]",0.0001,32,0.4224,0.0149,0.1596,0.0254,28.4
189,0.0001,0.2,"[768, 512, 256]",0.0001,64,0.4160,0.0467,0.1339,0.0329,16.2
190,0.0001,0.3,"[256, 128, 64]",0,16,0.3331,0.0426,-0.0266,0.0260,26.0
191,0.0001,0.3,"[256, 128, 64]",0,32,0.3058,0.0238,-0.1053,0.0971,14.1
192,0.0001,0.3,"[256, 128, 64]",0,64,0.2905,0.0216,-0.4091,0.0913,8.2
193,0.0001,0.3,"[256, 128, 64]",1e-05,16,0.3233,0.0506,-0.1146,0.0221,33.1
194,0.0001,0.3,"[256, 128, 64]",1e-05,32,0.2978,0.0338,-0.0549,0.0660,15.7
195,0.0001,0.3,"[256, 128, 64]",1e-05,64,0.3114,0.0427,-0.1910,0.0406,9.3
196,0.0001,0.3,"[256, 128, 64]",0.0001,16,0.3280,0.0427,-0.1439,0.0171,31.3
197,0.0001,0.3,"[256, 128, 64]",0.0001,32,0.3044,0.0385,-0.0369,0.0471,17.1
198,0.0001,0.3,"[256, 128, 64]",0.0001,64,0.2750,0.0369,-0.5033,0.3426,9.3
199,0.0001,0.3,"[512, 256, 128, 64]",0,16,0.2699,0.0098,-0.0868,0.0151,44.0
200,0.0001,0.3,"[512, 256, 128, 64]",0,32,0.2801,0.0231,-0.1363,0.0665,23.9
201,0.0001,0.3,"[512, 256, 128, 64]",0,64,0.2401,0.0302,-0.4201,0.2750,14.1
202,0.0001,0.3,"[512, 256, 128, 64]",1e-05,16,0.3044,0.0371,-0.0766,0.0867,50.0
203,0.0001,0.3,"[512, 256, 128, 64]",1e-05,32,0.2636,0.0437,-0.1502,0.1409,23.8
204,0.0001,0.3,"[512, 256, 128, 64]",1e-05,64,0.2453,0.0250,-0.4176,0.0365,9.9
205,0.0001,0.3,"[512, 256, 128, 64]",0.0001,16,0.2916,0.0246,-0.0546,0.0229,37.9
206,0.0001,0.3,"[512, 256, 128, 64]",0.0001,32,0.2540,0.0205,-0.1722,0.0786,20.3
207,0.0001,0.3,"[512, 256, 128, 64]",0.0001,64,0.2258,0.0113,-0.5401,0.2684,11.3
208,0.0001,0.3,"[768, 512, 256]",0,16,0.4002,0.0285,0.1205,0.0342,41.6
209,0.0001,0.3,"[768, 512, 256]",0,32,0.3792,0.0329,0.1336,0.0145,22.8
210,0.0001,0.3,"[768, 512, 256]",0,64,0.3678,0.0467,0.0672,0.0603,13.4
211,0.0001,0.3,"[768, 512, 256]",1e-05,16,0.3962,0.0269,0.1029,0.0427,49.9
212,0.0001,0.3,"[768, 512, 256]",1e-05,32,0.3505,0.0604,0.0810,0.0418,24.6
213,0.0001,0.3,"[768, 512, 256]",1e-05,64,0.3507,0.0527,0.0749,0.0383,14.6
214,0.0001,0.3,"[768, 512, 256]",0.0001,16,0.4157,0.0428,0.1197,0.0471,48.4
215,0.0001,0.3,"[768, 512, 256]",0.0001,32,0.3600,0.0315,0.0801,0.0177,24.5
216,0.0001,0.3,"[768, 512, 256]",0.0001,64,0.3375,0.0236,0.0096,0.0717,14.1
217,0.0001,0.4,"[256, 128, 64]",0,16,0.2771,0.0437,-0.3122,0.0320,20.6
218,0.0001,0.4,"[256, 128, 64]",0,32,0.2604,0.0256,-0.5876,0.2998,11.8
219,0.0001,0.4,"[256, 128, 64]",0,64,0.2531,0.0262,-0.9622,0.3886,5.7
220,0.0001,0.4,"[256, 128, 64]",1e-05,16,0.2902,0.0434,-0.3553,0.1193,22.1
221,0.0001,0.4,"[256, 128, 64]",1e-05,32,0.2172,0.0092,-0.5975,0.1954,12.6
222,0.0001,0.4,"[256, 128, 64]",1e-05,64,0.2622,0.0288,-1.1340,0.1795,6.4
223,0.0001,0.4,"[256, 128, 64]",0.0001,16,0.2984,0.0430,-0.1442,0.0340,21.5
224,0.0001,0.4,"[256, 128, 64]",0.0001,32,0.2608,0.0163,-0.7655,0.1817,11.8
225,0.0001,0.4,"[256, 128, 64]",0.0001,64,0.2392,0.0262,-0.8989,0.2171,6.4
226,0.0001,0.4,"[512, 256, 128, 64]",0,16,0.2741,0.0376,-0.2253,0.0456,35.8
227,0.0001,0.4,"[512, 256, 128, 64]",0,32,0.2140,0.0318,-0.5600,0.3127,17.8
228,0.0001,0.4,"[512, 256, 128, 64]",0,64,0.2293,0.0354,-0.9526,0.1091,9.5
229,0.0001,0.4,"[512, 256, 128, 64]",1e-05,16,0.2415,0.0140,-0.2131,0.0596,39.0
230,0.0001,0.4,"[512, 256, 128, 64]",1e-05,32,0.2233,0.0522,-0.3633,0.0577,19.3
